company,status,analyst report,rating,industry,platform,Valuation / Cap,security type,momentum,amount raised,start date,close date,annual revenue,revenue multiple,investors,average daily raise,min investment,reg type,minority founders,Women Founders,lgbtq founders,social impact,state
OmniValley,Funded,No Report,4.13,Financial & Insurance Products & Services,Netcapital,"$3,231,188 ",Equity - Common,Closed,"$33,319 ",12/10/2020,3/31/2022,-,-,-,$70 ,$99 ,RegCF,-,-,-,-,Wisconsin
Kazoo,Funded,No Report,4.8,"Consumer Products, Goods & Services",Wefunder,"$3,000,000 ",Convertible Note,Closed,"$224,591 ",12/10/2020,5/31/2021,-,-,401,"$1,306 ",$150 ,RegCF,Yes,Yes,-,-,District of Columbia
Kemper Snowboards,Funded,No Report,1.4,"Consumer Products, Goods & Services",StartEngine,"$5,000,000 ",Equity - Common,Closed,"$562,432 ",12/10/2020,4/30/2021,"$79,492 ",62.9x,361,"$3,989 ",$200 ,RegCF,-,-,-,-,Utah
Nickelytics,Funded,Neutral,3.1,Marketing & Advertising,Republic,"$6,500,000 ",SAFE,Closed,"$391,633 ",12/10/2020,4/30/2021,"$327,838 ",19.8x,920,"$2,778 ",$100 ,RegCF,-,-,-,-,Florida
GeoToll,Funded,No Report,5,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$33,500,000 ",Convertible Note,Closed,"$143,163 ",12/10/2020,4/15/2021,"$290,822 ",115.2x,95,"$1,136 ",$250 ,RegCF,Yes,-,-,-,Florida
EnergyX,Funded,Neutral,1.2,"Energy, Power, & Natural Resources",Netcapital,"$54,114,620 ",Equity - Common,Closed,"$1,070,000 ",12/10/2020,2/5/2021,-,-,-,"$18,772 ",$103 ,RegCF,-,-,-,-,Puerto Rico
Moxi on the Rocks,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$155,100 ",12/10/2020,8/7/2021,-,-,173,$646 ,$100 ,RegCF,-,Yes,-,-,Connecticut
Magic Valley Brewing,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$100,000 ",12/10/2020,3/10/2021,"$210,218 ",-,85,"$1,111 ",$100 ,RegCF,-,Yes,-,-,Idaho
Cleveland Whiskey Bond,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",Wefunder,-,Debt,Closed,"$1,070,000 ",12/10/2020,3/1/2021,"$2,005,312 ",-,493,"$13,210 ","$1,000 ",RegCF,-,-,-,-,Ohio
Ordergroove,Funded,No Report,-,"Business Services, Software, & Applications",OurCrowd,"$126,000,000 ",Equity - Common,-,-,12/10/2020,2/23/2021,-,-,-,-,"$10,000 ",RegD 506c,-,-,-,-,New York
Boulo,Funded,No Report,-,"Business Services, Software, & Applications",Vicinity,"$5,000,000 ",SAFE,Closed,"$77,500 ",12/10/2020,1/31/2021,-,-,-,"$1,490 ",$100 ,RegCF,-,-,-,-,Alabama
Driftwood Oven,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$150,000 ",12/10/2020,12/24/2020,"$1,422,118 ",-,74,"$10,714 ",$100 ,RegCF,-,-,-,-,Pennsylvania
AppleSeed Companies,Funded,No Report,1,Financial & Insurance Products & Services,Wefunder,"$3,040,000 ",Equity - Preferred,Closed,"$408,875 ",12/8/2020,4/30/2021,-,-,395,"$2,859 ",$105 ,RegCF,-,-,-,-,Florida
eZdia,Funded,Neutral,3.9,"Business Services, Software, & Applications",Wefunder,"$18,000,000 ",SAFE,Closed,"$343,260 ",12/8/2020,3/31/2021,"$1,972,512 ",9.1x,209,"$3,038 ",$100 ,RegCF,Yes,-,-,-,California
Cortex,Funded,Top Deal,5,Marketing & Advertising,Wefunder,"$8,420,000 ",Equity - Preferred,Closed,"$1,070,000 ",12/8/2020,3/4/2021,"$603,432 ",14x,"1,265","$12,442 ",$250 ,RegCF,-,-,-,-,Massachusetts
Octane Coffee,Funded,No Report,1,"Food, Beverage, & Restaurants",Wefunder,"$2,500,000 ",SAFE,Closed,"$79,573 ",12/8/2020,2/17/2021,-,-,117,"$1,121 ",$100 ,RegCF,-,-,-,-,Wisconsin
Monkey Wrench Brewing,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",Honeycomb,-,Debt,Closed,"$34,550 ",12/8/2020,1/21/2021,-,-,23,$785 ,$100 ,RegCF,-,-,-,-,Georgia
Me In 3,Funded,No Report,4.16,"Business Services, Software, & Applications",Wefunder,"$4,000,000 ",Convertible Note,Closed,"$116,918 ",12/7/2020,3/25/2022,"$60,000 ",66.7x,92,$247 ,$100 ,RegCF,-,-,-,-,Oklahoma
HereYouGo,Funded,No Report,3.7,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$5,000,000 ",SAFE,Closed,"$61,421 ",12/7/2020,4/28/2021,-,-,111,$433 ,$100 ,RegCF,-,-,-,-,California
Deep End Fitness,Funded,Neutral,1.8,Fitness & Wellness,Wefunder,"$3,000,000 ",Convertible Note,Closed,"$87,255 ",12/7/2020,3/11/2021,"$43,465 ",69x,141,$928 ,$100 ,RegCF,Yes,-,-,-,California
Future Family,Funded,No Report,-,Financial & Insurance Products & Services,OurCrowd,"$15,000,000 ",Equity - Common,-,-,12/7/2020,2/26/2021,-,-,-,-,"$10,000 ",RegD 506c,-,-,-,-,California
JumpCloud,Funded,No Report,-,"Business Services, Software, & Applications",OurCrowd,-,Equity - Common,-,-,12/6/2020,12/29/2020,-,-,-,-,"$10,000 ",RegD 506c,-,-,-,-,Colorado
UpChoose,Funded,Deal To Watch,4.8,Apparel & Fashion,Republic,"$8,000,000 ",SAFE,Closed,"$282,220 ",12/4/2020,4/30/2021,"$204,000 ",39.2x,495,"$1,920 ",$100 ,RegCF,Yes,-,-,Yes,California
Old Humble Distilling Company,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$54,100 ",12/4/2020,4/21/2021,"$50,043 ",-,67,$392 ,$100 ,RegCF,-,-,-,-,Texas
Lumineux Chocolate,Funded,No Report,-,"Food, Beverage, & Restaurants",Vicinity,-,Revenue Share,Closed,"$47,200 ",12/4/2020,1/29/2021,-,-,-,$843 ,$100 ,RegCF,-,-,-,-,South Carolina
Biologx,Funded,No Report,1.85,Healthcare & Pharmaceuticals,Manhattan Street Capital,"$82,000,000 ",Equity - Common,-,-,12/3/2020,5/31/2022,-,-,-,-,$320 ,RegA+,-,-,-,Yes,Texas
PLLAY Labs,Funded,No Report,3.7,"Media, Entertainment & Publishing",Microventures,"$10,000,000 ",Convertible Note,Closed,"$306,893 ",12/3/2020,4/26/2021,-,-,754,"$2,131 ",$100 ,RegCF,Yes,Yes,-,-,Pennsylvania
WellWell,Funded,Deal To Watch,4.8,"Food, Beverage, & Restaurants",Republic,"$10,000,000 ",SAFE,Closed,"$175,121 ",12/3/2020,3/28/2021,"$448,058 ",22.3x,353,"$1,523 ",$100 ,RegCF,-,-,-,-,New York
Envel,Funded,No Report,1.4,Financial & Insurance Products & Services,Wefunder,"$15,000,000 ",Convertible Note,Closed,"$1,070,000 ",12/3/2020,2/3/2021,-,-,"1,368","$17,258 ",$100 ,RegCF,-,-,-,-,Massachusetts
Carii,Funded,No Report,3.3,"Business Services, Software, & Applications",Netcapital,"$9,000,000 ",Equity - Common,Closed,"$17,820 ",12/3/2020,2/2/2021,"$175,258 ",51.4x,-,$292 ,$101 ,RegCF,Yes,Yes,-,-,New Jersey
PopCultivator Comics,Funded,Neutral,1,"Media, Entertainment & Publishing",Wefunder,"$3,520,000 ",Equity - Preferred,Closed,"$96,988 ",12/2/2020,4/30/2021,-,-,211,$651 ,$100 ,RegCF,Yes,Yes,-,-,Illinois
Vyrill,Funded,Neutral,5,Marketing & Advertising,Wefunder,"$8,000,000 ",Convertible Note,Closed,"$378,345 ",12/2/2020,4/30/2021,"$58,242 ",137.4x,322,"$2,539 ",$250 ,RegCF,Yes,Yes,-,-,California
OsNovum,Funded,No Report,1.8,Healthcare & Pharmaceuticals,Wefunder,"$14,400,000 ",Equity - Preferred,Closed,"$204,350 ",12/2/2020,3/31/2021,-,-,146,"$1,717 ",$100 ,RegCF,-,Yes,-,-,Nevada
PetroFunders,Funded,Neutral,1.8,Financial & Insurance Products & Services,Netcapital,"$11,400,000 ",Equity - Preferred,Closed,"$898,399 ",12/2/2020,2/26/2021,-,-,-,"$10,447 ",$99 ,RegCF,Yes,-,-,-,Colorado
Streitwise,Funded,No Report,-,Financial & Insurance Products & Services,Republic,-,Equity - Common,Closed,"$153,096 ",12/2/2020,1/31/2021,$100 ,-,90,"$2,552 ","$1,007 ",RegA+,-,-,-,-,California
Rogue Space Systems Corporation,Funded,No Report,1.3,"Transportation, Automotive, Aviation, & Aerospace",TruCrowd,"$17,324,078 ",Equity - Common,Closed,"$101,473 ",12/1/2020,8/14/2021,-,-,141,$396 ,$240 ,RegCF,-,-,-,-,New Hampshire
Mycocycle,Funded,Neutral,1.6,Industrial Services,StartEngine,"$7,000,000 ",Equity - Common,Closed,"$529,535 ",12/1/2020,4/30/2021,-,-,632,"$3,530 ",$263 ,RegCF,-,Yes,-,Yes,Illinois
El Condor,Funded,No Report,1,"Food, Beverage, & Restaurants",Wefunder,"$1,400,000 ",Equity - Preferred,Closed,"$210,800 ",12/1/2020,4/7/2021,-,-,133,"$1,660 ",$100 ,RegCF,-,-,-,-,New York
Volcon,Funded,Neutral,2.5,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$15,000,000 ",SAFE,Closed,"$1,070,000 ",12/1/2020,12/16/2020,-,-,"1,014","$71,333 ","$1,000 ",RegCF,-,-,-,Yes,Texas
"Nutrisense, a Series of Jason’s Syndicate",Funded,No Report,-,Healthcare & Pharmaceuticals,The Syndicate,-,Equity - Common,-,-,12/1/2020,1/31/2022,-,-,-,-,"$2,000 ",RegD 506b,-,-,-,-,Illinois
Hotelier,Funded,No Report,1.68,Travel and Hospitality,Wefunder,"$12,500,000 ",Equity - Common,Closed,"$107,966 ",11/30/2020,4/2/2022,-,-,205,$221 ,$100 ,RegCF,-,-,-,-,Florida
Honeydrop,Funded,No Report,3.9,"Food, Beverage, & Restaurants",StartEngine,"$17,269,896 ",Equity - Common,Closed,"$368,215 ",11/30/2020,11/26/2021,"$1,100,000 ",15.7x,450,"$1,020 ",$250 ,RegCF,-,-,-,-,California
Doodeo,Funded,No Report,2.5,"Consumer Products, Goods & Services",Wefunder,"$6,500,000 ",SAFE,Closed,"$263,306 ",11/30/2020,5/6/2021,-,-,134,"$1,677 ",$150 ,RegCF,-,-,-,-,Delaware
The Co-Own Company,Funded,No Report,3.5,Real Estate & Construction,Wefunder,"$3,000,000 ",Convertible Note,Closed,"$254,659 ",11/30/2020,4/30/2021,-,-,212,"$1,686 ",$100 ,RegCF,-,-,-,Yes,Colorado
Island Brands,Funded,Neutral,2.1,"Alcohol, Tobacco, & Recreational Drugs",StartEngine,"$65,727,003 ",Equity - Preferred,Closed,"$4,236,200 ",11/27/2020,10/29/2021,"$1,213,060 ",54.2x,"3,672","$12,608 ",$250 ,RegCF,-,-,-,-,South Carolina
Transportation 4 Life,Funded,No Report,2.5,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$7,000,000 ",SAFE,Closed,"$194,986 ",11/27/2020,4/30/2021,-,-,349,"$1,266 ",$100 ,RegCF,-,-,-,Yes,Florida
The OLLO Group,Funded,No Report,3.2,Apparel & Fashion,StartEngine,"$4,500,000 ",Equity - Common,Closed,"$146,271 ",11/26/2020,8/31/2021,"$157,709 ",28.5x,226,$526 ,$270 ,RegCF,-,-,-,-,California
Mazarine,Funded,No Report,1.2,"Consumer Products, Goods & Services",StartEngine,"$15,045,000 ",Equity - Common,Closed,"$109,579 ",11/26/2020,4/30/2021,"$322,947 ",46.6x,128,$707 ,$249 ,RegCF,-,-,-,-,Florida
Hubsai,Funded,No Report,1.6,"Consumer Products, Goods & Services",Netcapital,"$12,789,240 ",Equity - Common,Closed,"$32,266 ",11/26/2020,4/30/2021,"$2,100 ",1000x+,-,$208 ,$99 ,RegCF,-,-,-,-,California
Optelos,Funded,Top Deal,4.6,"Energy, Power, & Natural Resources",SeedInvest,"$8,000,000 ",Convertible Note,Closed,"$664,409 ",11/26/2020,1/24/2021,"$990,000 ",8.1x,603,"$11,261 ","$1,000 ",RegCF,Yes,-,-,-,Texas
Butter Roll Skate Shop,Funded,No Report,-,"Consumer Products, Goods & Services",MainVest,-,Revenue Share,Closed,"$45,200 ",11/26/2020,5/5/2021,-,-,153,$283 ,$100 ,RegCF,Yes,Yes,-,-,New York
TapRm,Funded,Deal To Watch,5,"Alcohol, Tobacco, & Recreational Drugs",Republic,"$14,000,000 ",SAFE,Closed,"$1,609,371 ",11/25/2020,4/30/2021,"$5,000,000 ",2.8x,"2,340","$10,316 ",$100 ,RegCF,-,-,-,-,New York
Perfitly,Funded,Neutral,2.1,Apparel & Fashion,SeedInvest,"$15,000,000 ",Convertible Note,Closed,"$494,524 ",11/25/2020,3/28/2021,-,-,-,"$4,021 ","$1,000 ",RegCF,Yes,-,-,Yes,New York
MAGFAST,Funded,No Report,1,"Consumer Products, Goods & Services",Netcapital,"$20,000,000 ",Equity - Common,Closed,"$1,055,250 ",11/25/2020,12/17/2020,$10 ,1000x+,-,"$47,966 ",$100 ,RegCF,-,Yes,-,-,New York
JK Williams Distilling,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$182,300 ",11/25/2020,4/28/2021,"$63,306 ",-,105,"$1,184 ",$100 ,RegCF,-,-,-,-,Illinois
"Blush, a Series of Jason’s Syndicate",Funded,No Report,-,"Media, Entertainment & Publishing",The Syndicate,-,Equity - Common,-,-,11/25/2020,12/1/2020,-,-,-,-,"$2,000 ",RegD 506b,-,-,-,-,Utah
Compostable LA,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$60,000 ",11/25/2020,11/30/2020,-,-,77,"$12,000 ",$100 ,RegCF,-,-,-,-,California
KarbonPay,Funded,Neutral,1.6,"Business Services, Software, & Applications",Wefunder,"$6,200,000 ",Equity - Common,Closed,"$736,778 ",11/24/2020,8/31/2021,$144 ,1000x+,612,"$2,631 ",$100 ,RegCF,-,-,-,-,Texas
Bee Mortgage App,Funded,No Report,3.2,Real Estate & Construction,Wefunder,"$12,000,000 ",SAFE,Closed,"$1,180,742 ",11/23/2020,9/30/2021,-,-,853,"$3,797 ",$100 ,RegCF,Yes,Yes,-,-,Florida
Charlie Foxtrot Brewing,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$65,550 ",11/23/2020,2/3/2021,$765 ,-,70,$910 ,$100 ,RegCF,-,-,-,Yes,Florida
Waverly Labs,Funded,No Report,-,"Media, Entertainment & Publishing",StartEngine,"$40,000,000 ",Equity - Common,Closed,"$753,295 ",11/23/2020,1/23/2021,"$456,114 ",87.7x,-,"$12,349 ",$496 ,TTW,Yes,-,-,-,New York
Up Sonder,Funded,No Report,4.9,"Logistics, Delivery, & Supply Chain",StartEngine,"$5,500,000 ",Equity - Preferred,Closed,"$309,682 ",11/20/2020,11/26/2021,"$14,441 ",380.9x,454,$835 ,$249 ,RegCF,Yes,-,-,-,California
ModVans,Funded,Neutral,3.1,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$20,700,000 ",Equity - Common,Closed,"$308,805 ",11/20/2020,8/31/2021,"$3,600,000 ",5.8x,539,"$1,087 ",$100 ,RegCF,-,Yes,-,-,California
Arc Footwear,Funded,No Report,1.1,Apparel & Fashion,StartEngine,"$8,000,000 ",Equity - Common,Closed,"$55,098 ",11/20/2020,7/30/2021,-,-,197,$219 ,$100 ,RegCF,-,-,-,-,New York
Care Angel,Funded,Neutral,4.8,Healthcare & Pharmaceuticals,StartEngine,"$45,700,000 ",Equity - Common,Closed,"$303,713 ",11/20/2020,7/15/2021,"$996,230 ",45.9x,341,"$1,281 ",$494 ,RegCF,-,-,-,-,Florida
Remedy Processors,Funded,No Report,4.3,"Alcohol, Tobacco, & Recreational Drugs",Microventures,"$8,400,000 ",Convertible Note,Closed,"$146,261 ",11/20/2020,6/21/2021,"$303,000 ",27.7x,261,$687 ,$100 ,RegCF,-,-,-,-,California
Olly Awake,Funded,No Report,2.9,Apparel & Fashion,Wefunder,"$1,500,000 ",Convertible Note,Closed,"$32,050 ",11/20/2020,4/30/2021,"$4,116 ",364.4x,43,$199 ,$250 ,RegCF,Yes,-,-,Yes,Ohio
Vital Card,Funded,No Report,2.7,Financial & Insurance Products & Services,StartEngine,"$10,022,952 ",Equity - Common,Closed,"$348,481 ",11/20/2020,4/3/2021,-,-,938,"$2,601 ",$500 ,RegCF,-,-,-,-,New York
Amani Nicol Wellness,Funded,No Report,-,Beauty & Personal Care,MainVest,-,Revenue Share,Closed,"$10,000 ",11/20/2020,4/2/2021,-,-,3,$75 ,$100 ,RegCF,Yes,Yes,-,-,Maryland
Fresh Start Market,Funded,No Report,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Closed,"$27,250 ",11/20/2020,2/3/2021,-,-,50,$363 ,$100 ,RegCF,-,Yes,-,Yes,Massachusetts
Scoot! Cold Brew,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$49,000 ",11/20/2020,1/6/2021,-,-,30,"$1,043 ",$100 ,RegCF,-,Yes,-,Yes,Ohio
I Got It,Funded,Neutral,2.1,"Media, Entertainment & Publishing",Wefunder,"$1,520,000 ",Equity - Common,Closed,"$705,000 ",11/19/2020,4/23/2021,-,-,139,"$4,548 ",$200 ,RegCF,-,Yes,-,-,New Jersey
ShiftPosts,Funded,Neutral,2.5,Healthcare & Pharmaceuticals,SeedInvest,"$4,000,000 ",Convertible Note,Closed,"$695,257 ",11/19/2020,1/29/2021,"$37,464 ",106.8x,-,"$9,792 ","$1,000 ",RegCF,-,-,-,-,Minnesota
Debellation Brewing,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$66,500 ",11/19/2020,1/15/2021,-,-,47,"$1,167 ",$100 ,RegCF,-,Yes,-,-,Georgia
VerseBooks,Funded,No Report,1.3,"Media, Entertainment & Publishing",TruCrowd,"$10,000,000 ",Equity - Common,Closed,"$22,506 ",11/18/2020,11/19/2021,-,-,68,$61 ,$100 ,RegCF,Yes,-,-,-,Ohio
One Biosciences,Funded,No Report,4.5,Fitness & Wellness,Wefunder,"$5,000,000 ",Convertible Note,Closed,"$214,702 ",11/18/2020,6/23/2021,"$25,670 ",194.8x,95,$989 ,$100 ,RegCF,Yes,-,-,-,Texas
Dope Dog,Funded,Neutral,3.7,"Pet Health, Food, and Services",Republic,"$5,000,000 ",SAFE,Closed,"$123,535 ",11/18/2020,3/17/2021,"$276,000 ",18.1x,245,"$1,038 ",$150 ,RegCF,-,Yes,-,-,California
GO Buddha,Funded,No Report,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Closed,"$38,505 ",11/18/2020,1/29/2021,-,-,53,$535 ,$100 ,RegCF,-,-,-,-,Ohio
South Bend Brew Werks,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$100,000 ",11/18/2020,1/24/2021,"$742,690 ",-,191,"$1,493 ",$100 ,RegCF,-,-,-,-,Indiana
Belladinas,Funded,No Report,-,"Food, Beverage, & Restaurants",Vicinity,-,Revenue Share,Closed,"$42,000 ",11/18/2020,1/15/2021,-,-,-,$724 ,$100 ,RegCF,-,-,-,-,South Carolina
American Dreamhouse- Boeing Ave,Funded,No Report,-,Real Estate & Construction,Republic,-,Equity - Common,Closed,"$106,880 ",11/18/2020,12/31/2020,-,-,264,"$2,486 ",$251 ,RegCF,-,Yes,-,-,California
"Steezy -2, a Series of Jason’s Syndicate",Funded,No Report,-,"Media, Entertainment & Publishing",The Syndicate,-,Equity - Common,-,-,11/18/2020,11/19/2020,-,-,-,-,"$2,000 ",RegD 506b,-,-,-,-,Utah
"Outlaw Soaps, a Series of Jason’s Syndicate",Funded,No Report,-,Beauty & Personal Care,The Syndicate,-,Equity - Common,-,-,11/18/2020,11/19/2020,-,-,-,-,"$2,000 ",RegD 506b,-,-,-,-,Utah
Kachinga,Funded,No Report,3.2,Financial & Insurance Products & Services,Wefunder,"$7,500,000 ",Convertible Note,Closed,"$217,211 ",11/17/2020,4/30/2022,"$4,032 ",1000x+,56,$411 ,$100 ,RegCF,Yes,-,-,-,California
Laegacy,Funded,No Report,1.4,"Transportation, Automotive, Aviation, & Aerospace",Netcapital,"$4,043,478 ",Equity - Common,Closed,"$105,794 ",11/17/2020,4/1/2021,-,-,-,$784 ,$99 ,RegCF,Yes,-,-,Yes,Indiana
Toffee.com,Funded,No Report,2.7,"Consumer Products, Goods & Services",Wefunder,"$5,000,000 ",SAFE,Closed,"$185,200 ",11/17/2020,3/29/2021,"$27,000 ",185.2x,446,"$1,403 ",$100 ,RegCF,Yes,-,-,-,Delaware
Move,Funded,Neutral,2.3,Retail Shops & Department Stores,Wefunder,"$25,000,000 ",SAFE,Closed,"$585,186 ",11/17/2020,12/31/2020,"$383,188 ",65.2x,680,"$13,300 ",$250 ,RegCF,Yes,-,-,-,California
Bobacino,Funded,No Report,-,"Food, Beverage, & Restaurants",StartEngine,"$7,000,000 ",Equity - Common,Closed,"$346,588 ",11/17/2020,6/6/2021,-,-,-,"$1,724 ",$497 ,TTW,-,-,-,-,California
My Green Network,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",Microventures,-,Revenue Share,Closed,"$268,916 ",11/17/2020,4/12/2021,-,-,188,"$1,842 ",$100 ,RegCF,Yes,Yes,-,-,California
HighRes Labs,Funded,No Report,3,"Alcohol, Tobacco, & Recreational Drugs",Fundanna,"$3,600,000 ",Equity - Common,Closed,"$13,660 ",11/16/2020,12/3/2021,-,-,28,$36 ,$200 ,RegCF,Yes,-,-,-,Oklahoma
greenbox Robotics,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",Netcapital,"$8,416,455 ",Equity - Common,Closed,"$53,975 ",11/16/2020,12/17/2021,-,-,-,$136 ,$99 ,RegCF,-,-,-,-,California
Hemp CR,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",CrowdSource Funded,"$2,500,000 ",Convertible Note,Closed,"$10,000 ",11/16/2020,11/23/2021,-,-,1,$27 ,"$1,000 ",RegCF,Yes,-,-,-,Nevada
Domaselo,Funded,No Report,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Closed,"$53,900 ",11/16/2020,1/27/2021,"$6,229 ",-,55,$749 ,$100 ,RegCF,-,-,-,-,Florida
Monogram Orthopaedics,Funded,No Report,-,Healthcare & Pharmaceuticals,StartEngine,"$89,900,000 ",Equity - Preferred,Closed,"$2,965,501 ",11/16/2020,1/16/2021,-,-,-,"$48,615 ",$251 ,TTW,-,-,-,-,Texas
Cadi,Funded,Deal To Watch,2.7,"Consumer Products, Goods & Services",StartEngine,"$10,051,686 ",Equity - Common,Closed,"$1,518,804 ",11/13/2020,7/29/2021,"$700,000 ",14.4x,"1,666","$5,887 ",$249 ,RegCF,-,-,-,-,Tennessee
Hempzene,Funded,No Report,3.9,"Consumer Products, Goods & Services",Wefunder,"$5,000,000 ",SAFE,Closed,"$11,009 ",11/13/2020,4/22/2021,"$467,556 ",10.7x,26,$69 ,$100 ,RegCF,-,-,-,-,Massachusetts
Aptera Motors,Funded,No Report,2.5,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$40,000,000 ",SAFE,Closed,"$1,070,000 ",11/13/2020,12/20/2020,-,-,"2,088","$28,919 ",$100 ,RegCF,-,-,-,Yes,California
Brato Brewhouse and Kitchen,Funded,No Report,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Closed,"$42,900 ",11/13/2020,1/20/2021,"$321,913 ",-,95,$631 ,$100 ,RegCF,-,-,-,-,Massachusetts
The Feel Good Lab,Funded,No Report,2.3,Healthcare & Pharmaceuticals,Netcapital,"$9,082,500 ",Equity - Common,Closed,"$630,878 ",11/12/2020,4/30/2021,"$242,935 ",37.4x,-,"$3,733 ",$100 ,RegCF,-,-,-,-,Connecticut
hobbyDB,Funded,Neutral,2.5,Arts & Crafts,Wefunder,"$11,000,000 ",Equity - Preferred,Closed,"$107,110 ",11/12/2020,12/28/2020,"$430,582 ",25.5x,212,"$2,328 ",$100 ,RegCF,-,Yes,-,-,Colorado
Black Sands Entertainment,Funded,Deal To Watch,3.3,"Media, Entertainment & Publishing",Wefunder,"$9,800,000 ",Equity - Preferred,Closed,"$1,026,413 ",11/12/2020,12/13/2020,"$380,000 ",25.8x,"2,799","$33,110 ",$250 ,RegCF,Yes,Yes,-,-,Delaware
xCraft,Funded,Underweight,-,"Transportation, Automotive, Aviation, & Aerospace",StartEngine,"$35,000,000 ",Equity - Common,Closed,"$2,528,013 ",11/12/2020,2/3/2022,"$680,677 ",51.4x,"2,091","$5,643 ",$352 ,RegA+,-,-,-,-,Idaho
Lost Spirits Distillery,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",Wefunder,"$20,022,100 ",Equity - Common,Closed,"$1,070,000 ",11/12/2020,5/9/2021,-,-,145,"$6,011 ","$1,000 ",RegCF,-,-,-,-,California
Knightscope,Funded,Underweight,-,"Security, Cybersecurity, & Defense",StartEngine,"$447,000,000 ",Equity - Preferred,Closed,"$21,927,540 ",11/12/2020,4/30/2021,"$1,637,548 ",273x,"13,220","$129,749 ",$100 ,RegA+,Yes,-,-,-,California
Gorges Beer,Funded,No Report,-,"Alcohol, Tobacco, & Recreational Drugs",MainVest,-,Revenue Share,Closed,"$161,600 ",11/12/2020,1/27/2021,-,-,95,"$2,126 ",$100 ,RegCF,-,-,-,-,Oregon
Akua,Funded,Deal To Watch,4.8,"Food, Beverage, & Restaurants",Republic,"$7,000,000 ",SAFE,Closed,"$1,070,000 ",11/11/2020,4/24/2021,"$143,559 ",48.8x,"2,385","$6,524 ",$100 ,RegCF,-,Yes,-,Yes,New York
Blendid,Funded,Deal To Watch,3.9,"Food, Beverage, & Restaurants",Microventures,"$50,000,000 ",Convertible Note,Closed,"$460,051 ",11/11/2020,2/28/2021,"$108,575 ",460.5x,776,"$4,221 ",$100 ,RegCF,Yes,-,-,-,California
eCarra,Funded,No Report,2.7,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$5,000,000 ",SAFE,Closed,"$14,916 ",11/11/2020,1/21/2021,"$78,627 ",63.6x,-,$210 ,$100 ,RegCF,Yes,-,-,Yes,Texas
Digital Brands Group,Funded,Neutral,4.2,Apparel & Fashion,Wefunder,"$52,841,157 ",Convertible Note,Closed,"$741,974 ",11/11/2020,12/21/2020,"$3,034,216 ",17.4x,494,"$18,549 ",$100 ,RegCF,-,-,-,-,California
Firelight Camps,Funded,No Report,4.8,Travel and Hospitality,Wefunder,"$8,000,000 ",Equity - Preferred,Closed,"$571,953 ",11/10/2020,9/7/2021,"$731,495 ",10.9x,300,"$1,900 ",$316 ,RegCF,-,Yes,-,-,New York
DRONEDEK Corporation,Funded,Underweight,1.4,"Logistics, Delivery, & Supply Chain",Wefunder,"$123,000,000 ",Equity - Common,Closed,"$3,574,629 ",11/10/2020,8/31/2021,-,-,"4,438","$12,159 ",$100 ,RegCF,-,-,-,-,Indiana
Immortal Studios,Funded,No Report,3.4,"Media, Entertainment & Publishing",Wefunder,"$18,000,000 ",SAFE,Closed,"$318,465 ",11/10/2020,6/30/2021,"$35,000 ",514.3x,459,"$1,373 ",$100 ,RegCF,Yes,-,-,-,California
